YEAR,PLAYER,POS,TEAM,FG%,PPG,RPG,APG,BLKPG,MVP
2004,Tim Duncan,F,San Antonio Spurs,0.501,22.3,12.4,3.1,2.7,0
2004,Kevin Garnett,F,Minnesota Timberwolves,0.499,24.2,13.9,5,2.2,1
2004,Jason Kidd,G,New Jersey Nets,0.384,15.5,6.4,9.2,0.2,0
2004,Shaquille O'Neal,C,Los Angeles Lakers,0.584,21.5,11.5,2.9,2.5,0
2003,Kobe Bryant,G,Los Angeles Lakers,0.451,30,6.9,5.9,0.8,0
2003,Tim Duncan,F,San Antonio Spurs,0.513,23.3,12.9,3.9,2.9,1
2003,Kevin Garnett,F,Minnesota Timberwolves,0.502,23,13.4,6,1.6,0
2003,Tracy McGrady,G,Orlando Magic,0.457,32.1,6.5,5.5,0.8,0
2003,Shaquille O'Neal,C,Los Angeles Lakers,0.574,27.5,11.1,3.1,2.4,0
2002,Kobe Bryant,G,Los Angeles Lakers,0.469,25.2,5.5,5.5,0.4,0
2002,Tim Duncan,F,San Antonio Spurs,0.508,25.5,12.7,3.7,2.5,1
2002,Jason Kidd,G,New Jersey Nets,0.391,14.7,7.3,9.9,0.2,0
2002,Tracy McGrady,F,Orlando Magic,0.451,25.6,7.9,5.3,1,0
2002,Shaquille O'Neal,C,Los Angeles Lakers,0.579,27.2,10.7,3,2,0
2001,Tim Duncan,F,San Antonio Spurs,0.499,22.2,12.2,3,2.3,0
2001,Allen Iverson,G,Philadelphia 76ers,0.42,31.1,3.8,4.6,0.3,1
2001,Jason Kidd,G,Phoenix Suns,0.411,16.9,6.4,9.8,0.3,0
2001,Shaquille O'Neal,C,Los Angeles Lakers,0.572,28.7,12.7,3.7,2.8,0
2001,Chris Webber,F,Sacramento Kings,0.481,27.1,11.1,4.2,1.7,0
2000,Tim Duncan,F,San Antonio Spurs,0.49,23.2,12.4,3.2,2.2,0
2000,Kevin Garnett,F,Minnesota Timberwolves,0.497,22.9,11.8,5,1.6,0
2000,Jason Kidd,G,Phoenix Suns,0.409,14.3,7.2,10.1,0.4,0
2000,Shaquille O'Neal,C,Los Angeles Lakers,0.574,29.7,13.6,3.8,3,1
2000,Gary Payton,G,Seattle SuperSonics,0.448,24.2,6.5,8.9,0.2,0
