Column1,Player,2021/22
475,Devontae Cacok,462629
475,Joe Wieskamp,462629
475,Justin Champagnie,462629
475,David Johnson,462629
475,Malik Fitts,462629
475,Trent Forrest,462629
475,Joel Ayayi,462629
475,Cassius Winston,462629
529,Mychal Mulder,444017
530,Chaundee Brown,385524
531,Ja'Vonte Smart,353619
532,Sam Dekker,350000
533,Terry Taylor,342984
534,Jontay Porter,300000
534,Admiral Schofield,300000
536,Langston Galloway,128709
537,Troy Williams,122741
538,Stanley Johnson,120083
539,DeJon Jarreau,119645
540,Alfonzo McKinnie,102831
541,Mamadi Diakite,100000
542,Davon Reed,93136
543,Demetrius Jackson,92857
544,Justin Robinson,74093
545,Freddie Gillespie,50000
