Column1,Player,2020/21
220,Denzel Valentine,4642800
221,Kevin Knox,4588680
222,DJ Wilson,4548280
223,Deni Avdija,4469160
224,Cam Reddish,4458000
225,TJ Leaf,4431423
226,Mikal Bridges,4359000
227,Jalen Smith,4245720
228,Cameron Johnson,4235160
229,JaVale McGee,4200000
229,Reggie Bullock,4200000
231,Shai Gilgeous-Alexander,4141320
232,John Collins,4137302
233,Willie Cauley-Stein,4100000
234,Devin Vassell,4033440
235,PJ Washington,4023600
236,Dorian Finney-Smith,4000000
236,Patrick McCaw,4000000
238,Alex Len,3970648
239,Terrance Ferguson,3944013
240,Miles Bridges,3934320
241,Austin Rivers,3929049
242,Jevon Carter,3925000
243,Jarrett Allen,3909902
244,Nicolo Melli,3897436
245,OG Anunoby,3872215
246,Gabriel Deck,3870370
247,Tyrese Haliburton,3831840
248,Tyler Herro,3822240
249,Patrick Patterson,3814771
250,Stanley Johnson,3804150
251,Jake Layman,3761085
252,Jerome Robinson,3737520
253,Danuel House,3717000
254,Kira Lewis,3640200
255,Romeo Langford,3631200
256,Wesley Matthews,3623000
256,Bobby Portis,3623000
256,Moe Harkless,3623000
259,Wayne Ellington,3564753
260,Kyle Kuzma,3562178
261,Michael Porter,3550800
262,Tony Bradley,3542060
263,Derrick White,3516284
264,Bismack Biyombo,3500000
264,Boban Marjanovic,3500000
264,TJ McConnell,3500000
264,Luca Vildoza,3500000
268,Josh Hart,3491159
269,Aaron Nesmith,3458400
270,Sekou Doumbouya,3449400
271,Dewayne Dedmon,3447478
272,Troy Brown,3372840
273,Jeff Teague,3372826
274,Michael Carter-Williams,3300000
274,James Ennis,3300000
276,Cole Anthony,3285120
277,Taj Gibson,3283684
278,Facundo Campazzo,3200000
279,Jon Leuer,3169348
280,Isaiah Stewart,3121080
280,Chuma Okeke,3121080
282,Nickeil Alexander-Walker,3113160
283,DeMarcus Cousins,3051832
284,Donte DiVincenzo,3044160
285,Khem Birch,3011499
286,Ryan Arcidiacono,3000000
286,Trey Burke,3000000
288,Aleksej Pokusevski,2964840
289,Goga Bitadze,2957520
290,Lonnie Walker,2895720
291,Ben McLemore,2893630
292,Andrew Nicholson,2844429
293,Luka Samanic,2824320
294,Josh Green,2816760
295,Kevin Huerter,2761920
296,Alex Caruso,2750000
296,Marko Guduric,2750000
298,Matisse Thybulle,2711280
299,Saddiq Bey,2689920
300,Josh Okogie,2651040
301,Vincent Poirier,2619207
302,Brandon Clarke,2602920
303,Precious Achiuwa,2582160
304,Jeff Green,2564753
304,Jose Juan Barea,2564753
304,Marc Gasol,2564753
304,Jared Dudley,2564753
304,Udonis Haslem,2564753
304,Dwight Howard,2564753
304,Carmelo Anthony,2564753
311,Grayson Allen,2545320
312,Grant Williams,2498760
313,Tyrese Maxey,2478840
314,Chandler Hutchison,2443440
315,Mfiondu Kabengele,2432353
316,Darius Bazley,2399160
317,Moritz Wagner,2383915
318,Zeke Nnaji,2379840
319,Aaron Holiday,2345640
320,Bryn Forbes,2337145
321,Reggie Jackson,2331593
321,Markieff Morris,2331593
321,E'Twaun Moore,2331593
324,Kent Bazemore,2320044
324,Hassan Whiteside,2320044
326,Ty Jerome,2303040
327,Mike Muscala,2283034
328,Anfernee Simons,2252040
329,Luke Kornet,2250000
329,Brad Wanamaker,2250000
331,Monta Ellis,2245400
332,Nassir Little,2210640
333,RJ Hampton,2193480
334,Solomon Hill,2174318
334,Matthew Dellavedova,2174318
336,Edmond Sumner,2160000
337,Anderson Varejao,2141713
338,Dylan Windler,2137440
339,Immanuel Quickley,2105520
340,John Konchar,2100000
341,Landry Shamet,2090040
342,Jordan Poole,2063280
343,Bol Bol,2058240
344,Keldon Johnson,2048040
345,Payton Pritchard,2035800
346,Robert Williams,2029920
347,Tyler Johnson,2028594
347,Bruno Caboclo,2028594
347,Langston Galloway,2028594
350,Gary Clark,2018458
351,Jacob Evans,2017320
352,Spencer Hawes,2007058
353,Dzanan Musa,2002800
354,Damyean Dotson,2000000
354,Kenrich Williams,2000000
354,Theo Maledon,2000000
357,Omari Spellman,1988280
358,Quinn Cook,1981649
359,Mario Hezonja,1977011
359,Cameron Payne,1977011
361,Udoka Azubuike,1977000
362,Jaden McDaniels,1964760
363,Malachi Flynn,1950600
364,Desmond Bane,1936440
365,Jontay Porter,1900000
366,Jahlil Okafor,1882867
366,JaKarr Sampson,1882867
366,Raul Neto,1882867
369,Larry Sanders,1865546
370,Timothe Luwawu,1824003
370,David Nwaba,1824003
370,Marquese Chriss,1824003
373,Georges Niang,1783557
374,Rodions Kurucs,1780152
375,PJ Dozier,1762796
375,Damion Lee,1762796
375,Alfonzo McKinnie,1762796
375,Furkan Korkmaz,1762796
379,Semi Ojeleye,1752950
379,Abdel Nader,1752950
381,Thon Maker,1737145
381,Willy Hernangomez,1737145
381,Frank Kaminsky,1737145
381,DeAndre Bembry,1737145
385,Monte Morris,1723707
386,Kevin Porter,1717981
387,Brandon Goodwin,1701593
387,Thanasis Antetokounmpo,1701593
387,Shake Milton,1701593
390,Ignas Brazdeikis,1686315
391,Sterling Brown,1678854
391,Wesley Iwundu,1678854
391,Dwayne Bacon,1678854
391,Torrey Craig,1678854
395,Bruce Brown,1663861
395,Devonte Graham,1663861
395,Jalen Brunson,1663861
395,Hamidou Diallo,1663861
395,Duncan Robinson,1663861
395,Kendrick Nunn,1663861
395,Jarred Vanderbilt,1663861
395,Mitchell Robinson,1663861
395,Sviatoslav Mykhailiuk,1663861
395,Gary Trent Jr,1663861
395,Isaac Bonga,1663861
406,Isaiah Hartenstein,1620564
406,Wenyen Gabriel,1620564
406,Josh Gray,1620564
406,Harry Giles,1620564
406,Drew Eubanks,1620564
411,Bruno Fernando,1517981
411,Carsen Edwards,1517981
411,Nicolas Claxton,1517981
411,Cody Martin,1517981
411,Caleb Martin,1517981
411,Jalen McDaniels,1517981
411,Javonte Green,1517981
411,Dean Wade,1517981
411,Vlatko Cancar,1517981
411,Eric Paschall,1517981
411,Alen Smailagic,1517981
411,Mychal Mulder,1517981
411,Chris Clemons,1517981
411,Jalen Lecque,1517981
411,Terance Mann,1517981
411,Talen Horton-Tucker,1517981
411,KZ Okpala,1517981
411,Naz Reid,1517981
411,Jaylen Nowell,1517981
411,Luguentz Dort,1517981
411,Isaiah Roby,1517981
411,Admiral Schofield,1517981
411,Justin James,1517981
411,Terence Davis,1517981
411,Chris Silva,1517981
411,Miye Oni,1517981
411,Juwan Morgan,1517981
411,Matt Thomas,1517981
411,Daniel Gafford,1517981
440,Robert Woodard,1500000
441,Damian Jones,1487284
442,JR Smith,1456667
443,Jae'Sean Tate,1445697
443,DaQuan Jeffries,1445697
443,Kelan Martin,1445697
443,Zylan Cheatham,1445697
443,Paul Watson,1445697
448,Vernon Carey,1350000
449,Xavier Tillman,1300000
450,Tyrell Terry,1289846
451,Oshae Brissett,1255493
452,Moses Brown,1250000
453,Sindarius Thornwell,1235889
454,Ersan Ilyasova,1194542
455,Glenn Robinson III,1165322
456,Zhaire Smith,1068200
457,Khyri Thomas,1061283
458,Guerschon Yabusele,1039080
459,Norvel Pelle,1014905
460,Nick Richards,1000000
460,Lamar Stevens,1000000
460,Jahmi'us Ramsey,1000000
463,Kyle Singler,999200
464,Juan Toscano-Anderson,943963
465,Shaquille Harrison,915048
466,Chimezie Metu,910895
467,Deividas Sirvydis,898310
467,KJ Martin,898310
467,Daniel Oturu,898310
467,Jordan Nwora,898310
467,Sam Merrill,898310
467,Isaiah Joe,898310
467,CJ Elleby,898310
467,Tre Jones,898310
467,Elijah Hughes,898310
467,Anthony Gill,898310
477,Iman Shumpert,803044
478,Theo Pinson,802182
479,Yuta Watanabe,737996
480,Tremont Waters,712278
481,Frank Jackson,699115
482,Rayjon Tucker,693755
483,Tyler Cook,693141
484,Garrison Mathews,688052
485,Cole Aldrich,685340
486,Shaun Livingston,666666
487,Gabe Vincent,660750
488,Tacko Fall,653924
489,Max Strus,647098
490,Alize Johnson,621587
491,Anthony Tolliver,614838
492,Paul Reed,609128
493,Tim Frazier,597463
494,Jordan Bell,592368
495,Amir Coffey,578842
496,Naji Marshall,538391
497,Kyle Guy,537888
498,Markus Howard,535294
499,Skylar Mays,532218
500,Mamadi Diakite,529341
501,Nathan Knight,522989
502,Jared Harper,520487
503,Saben Lee,516836
504,Jarrell Brantley,510586
505,Jordan McLaughlin,503760
506,Rondae Hollis-Jefferson,502957
507,Reggie Perry,489148
508,Cassius Stanley,470690
508,Trent Forrest,470690
510,Dakari Johnson,459414
511,Chris Chiozza,449115
511,Grant Riller,449115
511,Nate Darling,449115
511,Devon Dotson,449115
511,Adam Mokoka,449115
511,Marques Bolden,449115
511,Tyler Bey,449115
511,Nate Hinton,449115
511,Nico Mannion,449115
511,Jay Scrubb,449115
511,Kostas Antetokounmpo,449115
511,Devontae Cacok,449115
511,Killian Tillie,449115
511,Sean McDermott,449115
511,Jaylen Adams,449115
511,Josh Hall,449115
511,Ty-Shon Alexander,449115
511,Keljin Blevins,449115
511,Quinndary Weatherspoon,449115
511,Keita Bates-Diop,449115
511,Jalen Harris,449115
511,Cassius Winston,449115
533,Yogi Ferrell,444149
534,Noah Vonleh,427725
535,Mason Jones,424544
536,Brodric Thomas,412202
537,Andre Roberson,411639
538,Donta Hall,376276
539,Brian Bowen,375321
540,Anzejs Pasecniks,374297
541,Freddie Gillespie,363015
542,AJ Hammons,350087
543,Karim Mane,344557
544,Will Magnay,341481
545,Greg Whittington,332252
546,Raymond Spalding,289156
547,Chasson Randle,279927
548,Justin Patton,267623
549,Gary Payton II,249864
550,Mike James,237648
551,Charlie Brown,217844
